[ID],ControllerName,Selection,Default,_ShortDatabaseName,InitStage
19612,TypeUnitController,Collection[2],96 : 32539 (False) - TTypeUnitModuleDescriptor,null,null
19614,CriticalEffectController,Collection[1],97 : 32541 (True) - TCriticalEffectModuleDescriptor,null,null
19615,TargetCoordinatorController,Collection[1],98 : 32542 (False) - TTargetCoordinatorModuleDescriptor,null,null
19616,PositionController,Collection[1],93 : 32544 (False) - TPositionModuleDescriptor,null,null
19617,InflammableController,Collection[1],99 : 32545 (False) - TInflammableModuleDescriptor,null,null
19619,ExperienceController,Collection[1],100 : 32546 (False) - TModernWarfareExperienceModuleDescriptor,null,null
19620,CompanyUnitController,Collection[1],101 : 32547 (False) - TCompanyUnitModuleDescriptor,null,null
19621,VisibilityController,Collection[1],102 : 32548 (False) - TVisibilityModuleDescriptor,null,null
19623,WeaponManagerController,Collection[1],103 : 32550 (True) - TWeaponManagerModuleDescriptor,null,null
19624,DamageController,Collection[1],104 : 32551 (False) - TModernWarfareDamageModuleDescriptor,null,null
19625,HaloController,Collection[1],105 : 32552 (False) - THaloModuleDescriptor,HaloModuleDescriptor,null
19626,MouvementHandlerController,Collection[1],106 : 32553 (False) - TMouvementHandlerLandVehicleDescriptor,null,null
19627,FuelController,Collection[1],107 : 32554 (False) - TFuelModuleDescriptor,null,null
19628,ScannerConfigurationController,Collection[1],108 : 32555 (False) - TScannerConfigurationDescriptor,null,null
19629,ScannerController,Collection[1],109 : 32556 (False) - TModernWarfareScannerModuleDescriptor,null,null
19631,GhostManagerController,Collection[1],null,null,null
19632,CadavreController,Collection[1],null,null,null
19633,IAStratController,Collection[1],110 : 32560 (False) - TIAStratModuleDescriptor,null,2
19634,StateEngineController,Collection[1],111 : 32561 (False) - TStateEngineModuleDescriptor,null,null
19636,SelectionController,Collection[1],112 : 32562 (False) - TSelectionModuleDescriptor,null,null
19640,TypeUnitController,Collection[2],96 : 32566 (False) - TTypeUnitModuleDescriptor,null,null
19642,CriticalEffectController,Collection[1],97 : 32567 (True) - TCriticalEffectModuleDescriptor,null,null
19643,CompanyUnitController,Collection[1],101 : 32568 (False) - TCompanyUnitModuleDescriptor,null,null
19645,WeaponManagerController,Collection[1],103 : 32570 (True) - TWeaponManagerModuleDescriptor,null,null
19646,DamageController,Collection[1],104 : 32571 (False) - TModernWarfareDamageModuleDescriptor,null,null
