[ID],Name,BaseBlindage
77221,47F95DDC52620000,6
77222,46F95DDC52620000,5
77284,4AF95DDC52620000,9
77285,48F95DDC52620000,7
77334,81507E17B7941800,4
77357,44F95DDC52620000,2
77523,49F95DDC52620000,8
77553,4AF95DDC52620000,10
77561,4AF95DDC52620000,11
77574,4AF95DDC52620000,15
77592,4AF95DDC52620000,14
77598,81507E17B7941800,16
78042,84507E17B7941800,19
78043,4AF95DDC52620000,12
78281,82507E17B7941800,17
78586,4AF95DDC52620000,13
78622,83507E17B7941800,18
78860,89507E17B7941800,24
78979,88507E17B7941800,23
78986,C2507E17B7941800,27
79068,85507E17B7941800,20
80019,87507E17B7941800,22
80026,86507E17B7941800,21
80493,8A507E17B7941800,25
80591,C1507E17B7941800,26
86918,45F95DDC52620000,3
89551,41F95DDC52620000,null
107720,42F95DDC52620000,1
107721,C3507E17B7941800,28
107722,C4507E17B7941800,29
107723,C5507E17B7941800,30
107724,C6507E17B7941800,31
107725,C7507E17B7941800,32
107726,C8507E17B7941800,33
107727,C9507E17B7941800,34
