[ID],VisibilityRuleDescriptor,TimeBetweenEachIdentifyRoll,IdentifyBaseProbability,DistanceMultiplierRule
44879,172 : 56039 (True) - TModernWarfareVisibilityRollRuleDescriptor,15,0.1333333,173 : 56040 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
44912,172 : 56039 (True) - TModernWarfareVisibilityRollRuleDescriptor,10,0.2,173 : 56040 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
44927,172 : 56039 (True) - TModernWarfareVisibilityRollRuleDescriptor,8,0.2666667,173 : 56040 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
44992,172 : 56039 (True) - TModernWarfareVisibilityRollRuleDescriptor,4,0.5666667,173 : 56040 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
45058,172 : 56039 (True) - TModernWarfareVisibilityRollRuleDescriptor,5,0.4,173 : 56040 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
45283,172 : 56039 (True) - TModernWarfareVisibilityRollRuleDescriptor,3,0.7333333,173 : 56040 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
45871,172 : 56039 (True) - TModernWarfareVisibilityRollRuleDescriptor,15,0.13,173 : 56040 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
45926,172 : 56039 (True) - TModernWarfareVisibilityRollRuleDescriptor,8,0.27,173 : 56040 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
49315,172 : 56039 (True) - TModernWarfareVisibilityRollRuleDescriptor,8,0.2,173 : 56040 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
50107,172 : 56039 (True) - TModernWarfareVisibilityRollRuleDescriptor,4,0.57,173 : 56040 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
52447,172 : 56039 (True) - TModernWarfareVisibilityRollRuleDescriptor,7,0.2,173 : 56040 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
52600,172 : 56039 (True) - TModernWarfareVisibilityRollRuleDescriptor,6,0.3,173 : 56040 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
52784,172 : 56039 (True) - TModernWarfareVisibilityRollRuleDescriptor,30,null,173 : 56040 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
52790,172 : 56039 (True) - TModernWarfareVisibilityRollRuleDescriptor,10,0.2,173 : 56040 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
52833,172 : 56039 (True) - TModernWarfareVisibilityRollRuleDescriptor,5,0.4,173 : 56040 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
52868,172 : 56039 (True) - TModernWarfareVisibilityRollRuleDescriptor,8,0.2666667,173 : 56040 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
52875,172 : 56039 (True) - TModernWarfareVisibilityRollRuleDescriptor,3,0.7333333,173 : 56040 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
52910,172 : 56039 (True) - TModernWarfareVisibilityRollRuleDescriptor,4,0.5666667,173 : 56040 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
52965,172 : 56039 (True) - TModernWarfareVisibilityRollRuleDescriptor,8,0.27,173 : 56040 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
53529,172 : 56039 (True) - TModernWarfareVisibilityRollRuleDescriptor,null,null,173 : 56040 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
53947,172 : 56039 (True) - TModernWarfareVisibilityRollRuleDescriptor,6,0.3,173 : 56040 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
54039,172 : 56039 (True) - TModernWarfareVisibilityRollRuleDescriptor,3,0.6,173 : 56040 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
54099,172 : 56039 (True) - TModernWarfareVisibilityRollRuleDescriptor,2,0.9,173 : 56040 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
54324,172 : 56039 (True) - TModernWarfareVisibilityRollRuleDescriptor,1,1,173 : 56040 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
55923,172 : 56039 (True) - TModernWarfareVisibilityRollRuleDescriptor,null,null,173 : 56040 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
108322,172 : 56039 (True) - TModernWarfareVisibilityRollRuleDescriptor,null,null,173 : 56040 (False) - TModernWarfareDistanceMultiplierRollRuleDescriptor
