[ID],NbFX,MountedWeaponDescriptorList,TargetPositionPhysicalPropertyName,FlyingTimeAndHitPhysicalPropertyName
44978,1,Collection[2],null,null
44979,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
44988,1,Collection[2],null,null
44989,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
44995,1,Collection[2],null,null
44996,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
45001,1,Collection[2],null,null
45002,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
45174,1,Collection[2],null,null
45175,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
45180,1,Collection[2],null,null
45181,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
45186,1,Collection[2],null,null
45187,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
45192,1,Collection[2],null,null
45193,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
45198,1,Collection[2],null,null
45199,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
45204,1,Collection[2],null,null
45205,1,Collection[1],null,null
45210,1,Collection[2],null,null
45211,1,Collection[2],null,null
45216,1,Collection[2],null,null
45217,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
45222,1,Collection[2],null,null
45223,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
45228,1,Collection[2],null,null
45229,1,Collection[1],null,null
45234,1,Collection[2],null,null
45235,1,Collection[1],null,null
45240,1,Collection[2],null,null
45241,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
45246,1,Collection[2],null,null
45247,1,Collection[1],null,null
45296,1,Collection[2],null,null
45297,1,Collection[1],null,null
45302,1,Collection[2],null,null
45303,1,Collection[1],null,null
45308,1,Collection[2],null,null
45309,1,Collection[1],null,null
45314,1,Collection[2],null,null
45315,1,Collection[1],null,null
45320,1,Collection[2],null,null
45321,1,Collection[1],null,null
45371,1,Collection[2],null,null
45372,1,Collection[1],null,null
45389,1,Collection[2],null,null
45390,1,Collection[2],null,null
45862,1,Collection[2],null,null
45863,1,Collection[1],null,null
45874,1,Collection[2],null,null
45875,1,Collection[1],null,null
45880,1,Collection[2],null,null
45881,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
45916,1,Collection[2],null,null
45917,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
45922,1,Collection[2],null,null
45923,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
45929,1,Collection[2],null,null
45930,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
45942,1,Collection[2],null,null
45943,1,Collection[1],null,null
45948,1,Collection[2],null,null
45949,1,Collection[1],null,null
45958,1,Collection[2],null,null
45959,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
45964,1,Collection[2],null,null
45965,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
45979,1,Collection[2],null,null
45980,1,Collection[1],TargetPositionTurret2,FlyingTimeAndHit2
45997,1,Collection[2],null,null
45998,1,Collection[2],null,null
46034,1,Collection[2],null,null
46035,1,Collection[2],TargetPositionTurret2,FlyingTimeAndHit2
46044,1,Collection[2],null,null
