[ID],ControllerName,Maxspeed,TempsDemiTour,MaxAcceleration,AutoGyr,FxPropulsionOnToken,FxPropulsionOffToken,FxStartPropulsionToken,AutoGyrWhenUncontrollable,TimeMaxBetweenRandomMoveWhenUncontrollable,TimeMinBetweenRandomMoveWhenUncontrollable,RangeChaos,AngleMaxForRandomMouvUncontrollable,RotationSpeedWhenUncontrollable,ChaosSpeed
97931,MouvementHandlerController,780000,0.1,65000,30,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,600,3.1,10,10
97954,MouvementHandlerController,468000,0.1,104000,40,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,600,3.1,10,10
97956,MouvementHandlerController,468000,0.1,104000,40,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,800,3.1,10,10
98225,MouvementHandlerController,390000,0.1,78000,40,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,800,3.1,10,10
98229,MouvementHandlerController,468000,0.1,104000,50,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,800,3.1,10,10
98278,MouvementHandlerController,46800,0.1,39000,17,fx_propulsion_on,fx_propulsion_off,fx_fire,25,1,0.5,800,10,15,15
98280,MouvementHandlerController,39000,0.1,26000,20,fx_propulsion_on,fx_propulsion_off,fx_fire,25,1,0.5,800,3.1,15,15
98290,MouvementHandlerController,20800,0.1,26000,30,fx_propulsion_on,fx_propulsion_off,fx_fire,30,0.5,0.25,1000,6,30,20
98293,MouvementHandlerController,468000,0.1,104000,50,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,600,3.1,10,10
98299,MouvementHandlerController,46800,0.1,39000,17,fx_propulsion_on,fx_propulsion_off,fx_fire,25,1,0.5,800,3.1,15,15
98364,MouvementHandlerController,364000,0.1,78000,50,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,800,3.1,10,10
98372,MouvementHandlerController,364000,0.1,78000,50,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,1000,3.1,10,10
98473,MouvementHandlerController,156000,0.1,20800,30,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,600,3.1,15,15
98480,MouvementHandlerController,39000,0.1,26000,20,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,800,3.1,10,10
98496,MouvementHandlerController,36400,0.1,26000,21,fx_propulsion_on,fx_propulsion_off,fx_fire,25,1,0.5,800,3.1,15,15
98500,MouvementHandlerController,72800,0.1,52000,11,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,600,3.1,15,15
98508,MouvementHandlerController,52000,0.1,26000,30,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,800,3.1,15,15
98532,MouvementHandlerController,390000,0.1,78000,50,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,800,3.1,10,10
98549,MouvementHandlerController,36400,0.1,26000,21,fx_propulsion_on,fx_propulsion_off,fx_fire,30,0.5,0.25,1000,6,30,20
98554,MouvementHandlerController,31200,0.1,26000,25,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,800,3.1,10,10
98600,MouvementHandlerController,78000,0.1,20800,30,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,600,3.1,15,15
98686,MouvementHandlerController,62400,0.1,52000,13,fx_propulsion_on,fx_propulsion_off,fx_fire,25,1,0.5,800,3.1,15,15
98736,MouvementHandlerController,260000,0.1,52000,50,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,1000,3.1,10,10
98744,MouvementHandlerController,260000,0.1,52000,50,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,800,3.1,10,10
98826,MouvementHandlerController,62400,0.1,52000,13,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,600,3.1,10,10
98874,MouvementHandlerController,650000,0.1,104000,30,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,600,3.1,10,10
98876,MouvementHandlerController,780000,0.1,104000,45,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,600,3.1,10,10
98905,MouvementHandlerController,72800,0.1,36400,11,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,600,3.1,15,15
98919,MouvementHandlerController,468000,0.1,104000,45,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,800,3.1,10,10
98982,MouvementHandlerController,39000,0.1,26000,20,fx_propulsion_on,fx_propulsion_off,fx_fire,30,0.5,0.25,1000,6,30,20
99309,MouvementHandlerController,52000,0.1,52000,15,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,800,3.1,10,10
99594,MouvementHandlerController,39000,0.1,26000,25,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,800,3.1,10,10
99623,MouvementHandlerController,72800,0.1,52000,28,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,800,3.1,15,15
99625,MouvementHandlerController,650000,0.1,104000,40,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,800,3.1,15,15
99637,MouvementHandlerController,39000,0.1,26000,20,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,800,3.1,15,15
99698,MouvementHandlerController,62400,0.1,52000,13,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,800,3.1,15,15
100113,MouvementHandlerController,780000,0.1,104000,30,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,600,3.1,10,10
100375,MouvementHandlerController,104000,0.1,20800,30,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,600,3.1,15,15
100729,MouvementHandlerController,650000,0.1,104000,50,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,600,3.1,10,10
100754,MouvementHandlerController,650000,0.1,78000,40,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,800,3.1,10,10
101042,MouvementHandlerController,72800,0.1,78000,11,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,600,3.1,15,15
101048,MouvementHandlerController,520000,0.1,104000,60,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,600,3.1,10,10
101050,MouvementHandlerController,78000,0.1,15600,30,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,600,3.1,15,15
101053,MouvementHandlerController,780000,0.1,104000,60,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,600,3.1,10,10
101061,MouvementHandlerController,780000,0.1,78000,60,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,800,3.1,10,10
101063,MouvementHandlerController,650000,0.1,104000,60,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,600,3.1,10,10
101066,MouvementHandlerController,156000,0.1,26000,30,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,600,3.1,15,15
101069,MouvementHandlerController,780000,0.1,104000,80,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,1000,3.1,10,10
101079,MouvementHandlerController,390000,0.1,104000,60,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,600,3.1,10,10
101084,MouvementHandlerController,780000,0.1,104000,80,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,800,3.1,10,10
101109,MouvementHandlerController,780000,0.1,104000,30,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,600,3.1,15,15
101122,MouvementHandlerController,72800,0.1,36400,30,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,600,3.1,15,15
101204,MouvementHandlerController,39000,0.1,19500,30,fx_propulsion_on,fx_propulsion_off,fx_fire,30,0.5,0.25,1000,6,30,20
