[ID],ControllerName,Maxspeed,UnitMovingType,CyclicManoeuvrability,GFactorLimit,LateralSpeed,Mass,MaxInclination,RotorArea,TorqueManoeuvrability,UpwardSpeed,CriticalEffectModule,TempsDemiTour,MaxAcceleration,MaxDeceleration,WeaponSabordAngle
41415,MouvementHandlerController,10660,6,80,2.2,2600,4100,89,153,60,2080,97 : 41408 (True) - TCriticalEffectModuleDescriptor,5,1040,1040,null
41427,MouvementHandlerController,11440,6,80,2.2,2600,4100,89,153,60,2080,97 : 41408 (True) - TCriticalEffectModuleDescriptor,5,1040,1040,1.570796
41439,MouvementHandlerController,16380,6,130,3.5,2600,4300,89,140,110,2600,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,2080,2080,null
41453,MouvementHandlerController,14560,6,130,3.5,2600,4300,89,140,110,2600,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,2080,2080,null
41502,MouvementHandlerController,18200,6,130,3.5,2600,4300,89,140,110,2600,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,2080,2080,null
41513,MouvementHandlerController,14560,6,100,3,2600,8500,89,168,100,3900,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,1560,1560,null
41544,MouvementHandlerController,13520,6,130,3.5,2600,1800,89,85,120,3900,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,2080,2080,null
41556,MouvementHandlerController,15600,6,90,2.5,2600,8000,80,177,80,3120,97 : 41408 (True) - TCriticalEffectModuleDescriptor,5,1040,1040,null
41570,MouvementHandlerController,15080,6,130,3.5,2600,1800,89,85,120,3900,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,2080,2080,null
41588,MouvementHandlerController,15600,6,110,3.5,2600,5300,89,128,100,3900,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,2080,2080,null
41601,MouvementHandlerController,10920,6,130,3.5,2600,1800,89,85,120,3900,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,2080,2080,null
41608,MouvementHandlerController,10920,6,130,3.5,2600,1800,89,85,120,2080,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,2080,2080,null
41615,MouvementHandlerController,9620,6,130,3.5,2600,1800,89,85,120,3900,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,2080,2080,null
41621,MouvementHandlerController,10920,6,130,3.5,2600,1800,89,85,120,3120,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,2080,2080,4.712389
41631,MouvementHandlerController,11440,6,110,2.5,2600,5300,89,128,80,2600,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,2080,2080,null
41638,MouvementHandlerController,11440,6,130,2.5,2600,3000,89,90,110,3900,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,2080,2080,null
41652,MouvementHandlerController,15600,6,90,2.5,2600,8000,80,177,80,3120,97 : 41408 (True) - TCriticalEffectModuleDescriptor,5,1040,1040,1.570796
41658,MouvementHandlerController,13000,6,90,2.5,2600,7000,80,177,80,2600,97 : 41408 (True) - TCriticalEffectModuleDescriptor,5,1040,1040,null
41673,MouvementHandlerController,10660,6,80,2.2,2600,4100,89,153,60,2080,97 : 41408 (True) - TCriticalEffectModuleDescriptor,5,1040,1040,1.570796
41689,MouvementHandlerController,11440,6,130,2.5,2600,3000,89,90,110,2080,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,2080,2080,null
41695,MouvementHandlerController,12480,6,130,3.5,2600,2500,89,80,120,2600,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,2080,2080,null
41727,MouvementHandlerController,11440,6,80,2.2,2600,4100,89,153,60,2600,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,2080,2080,null
41749,MouvementHandlerController,16640,6,40,1.8,2600,22000,60,520,30,1560,97 : 41408 (True) - TCriticalEffectModuleDescriptor,5,1040,1040,null
41757,MouvementHandlerController,15600,6,40,1.8,2600,22000,60,520,30,2080,97 : 41408 (True) - TCriticalEffectModuleDescriptor,5,1040,1040,1.570796
41764,MouvementHandlerController,14040,6,40,1.8,2600,22000,60,520,30,2080,97 : 41408 (True) - TCriticalEffectModuleDescriptor,5,1040,1040,1.570796
41793,MouvementHandlerController,16640,6,40,1.8,2600,50000,60,800,30,2080,97 : 41408 (True) - TCriticalEffectModuleDescriptor,5,1040,1040,null
41799,MouvementHandlerController,15600,6,110,2.5,2600,5300,89,128,80,2600,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,2080,2080,null
41805,MouvementHandlerController,15600,6,40,1.8,2600,22000,60,520,30,1560,97 : 41408 (True) - TCriticalEffectModuleDescriptor,5,1040,1040,null
41816,MouvementHandlerController,15080,6,110,3.5,2600,5300,89,128,100,3900,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,2080,2080,null
41827,MouvementHandlerController,16120,6,130,3.5,2600,1800,89,85,120,3900,97 : 41408 (True) - TCriticalEffectModuleDescriptor,2,2080,2080,null
