[ID],_ShortDatabaseName,ControllerName,TurretDescriptorList,Salves,SalvoIsMainSalvo,HasMainSalvo
32550,WeaponDescriptor_Unit_152mm_SpGH_Dana,WeaponManagerController,Collection[2],Collection[29],Collection[4],null
32570,WeaponDescriptor_Unit_2K12_Kub,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
32584,WeaponDescriptor_Unit_2K22M_Tunguska_M,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
32592,WeaponDescriptor_Unit_2K22_Tunguska,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
32598,WeaponDescriptor_Unit_2S15_Norov,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
32609,WeaponDescriptor_Unit_2S19_MstaS,WeaponManagerController,Collection[2],Collection[29],Collection[4],null
32616,WeaponDescriptor_Unit_2S1_Gozdzik,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
32622,WeaponDescriptor_Unit_2S1_Gvozdika,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
32627,WeaponDescriptor_Unit_2S23_Nona_SVK,WeaponManagerController,Collection[2],Collection[29],Collection[4],null
32635,WeaponDescriptor_Unit_2S3M_Akatsiya,WeaponManagerController,Collection[2],Collection[29],Collection[4],null
32641,WeaponDescriptor_Unit_2S3_Akatsiya,WeaponManagerController,Collection[2],Collection[29],Collection[4],null
32646,WeaponDescriptor_Unit_2S7M_Malka,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
32653,WeaponDescriptor_Unit_2S7_Pion,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
32658,WeaponDescriptor_Unit_2S7_Piwonia,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
32663,WeaponDescriptor_Unit_2S9_Nona,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
32672,WeaponDescriptor_Unit_2eme_REP,WeaponManagerController,Collection[2],Collection[29],Collection[4],null
32686,WeaponDescriptor_Unit_2eme_REP_FAMAS,WeaponManagerController,Collection[2],Collection[29],Collection[4],null
32696,WeaponDescriptor_Unit_75_Highlanders,WeaponManagerController,Collection[2],Collection[29],Collection[4],null
32704,WeaponDescriptor_Unit_90_Motorstrelki,WeaponManagerController,Collection[2],Collection[29],Collection[4],null
32711,WeaponDescriptor_Unit_9K33M3_Romb,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
32718,WeaponDescriptor_Unit_9K33_OSA,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
32723,WeaponDescriptor_Unit_9K33_OSA_AK,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
32728,WeaponDescriptor_Unit_9K33_OSA_AKM,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
32733,WeaponDescriptor_Unit_9K35_Strela10,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
32743,WeaponDescriptor_Unit_9K37_Buk,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
32751,WeaponDescriptor_Unit_9K37_Buk_M1,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
32760,WeaponDescriptor_Unit_AML_60_20_Serval,WeaponManagerController,Collection[2],Collection[29],Collection[4],null
32769,WeaponDescriptor_Unit_AMOS_SWE,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
32777,WeaponDescriptor_Unit_AMX105_Mk61_NL,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
32785,WeaponDescriptor_Unit_AMX13_FL12_NL,WeaponManagerController,Collection[2],Collection[29],Collection[4],null
32797,WeaponDescriptor_Unit_AMX13_FL15_NL,WeaponManagerController,Collection[2],Collection[29],Collection[4],null
32806,WeaponDescriptor_Unit_AMX13_VTT,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
32816,WeaponDescriptor_Unit_AMX_105_AU_50,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
32821,WeaponDescriptor_Unit_AMX_10_P,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
32829,WeaponDescriptor_Unit_AMX_10_P_HOT,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
32835,WeaponDescriptor_Unit_AMX_10_P_Milan,WeaponManagerController,Collection[2],Collection[29],Collection[4],null
32840,WeaponDescriptor_Unit_AMX_10_RC,WeaponManagerController,Collection[2],Collection[29],Collection[4],null
32848,WeaponDescriptor_Unit_AMX_10_RC_Surblindage,WeaponManagerController,Collection[2],Collection[29],Collection[4],null
32858,WeaponDescriptor_Unit_AMX_13_90,WeaponManagerController,Collection[2],Collection[29],Collection[4],null
32863,WeaponDescriptor_Unit_AMX_13_DCA,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
32869,WeaponDescriptor_Unit_AMX_13_Harpon,WeaponManagerController,Collection[2],Collection[29],Collection[4],null
32874,WeaponDescriptor_Unit_AMX_30B,WeaponManagerController,Collection[2],Collection[29],Collection[4],null
32881,WeaponDescriptor_Unit_AMX_30B2,WeaponManagerController,Collection[2],Collection[29],Collection[4],null
32888,WeaponDescriptor_Unit_AMX_30B_valorise,WeaponManagerController,Collection[2],Collection[29],Collection[4],null
32893,WeaponDescriptor_Unit_AMX_30Brennus,WeaponManagerController,Collection[2],Collection[29],Collection[4],null
32900,WeaponDescriptor_Unit_AMX_30_ROLAND,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
32906,WeaponDescriptor_Unit_AMX_30_ROLAND_2,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
