[ID],NbFX,MountedWeaponDescriptorList,Tag,TagIndex,AngleRotationMax,AngleRotationMinPitch,AngleRotationMaxPitch,TargetPositionPhysicalPropertyName,FlyingTimeAndHitPhysicalPropertyName,OwnerTurnHisChassisVerticallyToAttack
42935,1,Collection[1],tourelle2,2,1.570796,-0.5235988,0.3490658,null,null,null
43426,1,Collection[1],tourelle1,1,0.3490658,-0.2617994,0.3490658,null,null,null
43427,1,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
43619,1,Collection[1],tourelle1,1,1.570796,-0.5235988,0.3490658,null,null,null
43666,1,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
43672,1,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
43679,1,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
44842,1,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
46998,1,Collection[2],tourelle2,2,1.570796,-0.5235988,0.3490658,null,null,null
47641,1,Collection[1],tourelle1,1,1.570796,-0.5235988,0.3490658,null,null,null
47646,1,Collection[1],tourelle1,1,1.570796,-0.5235988,0.3490658,null,null,null
48397,1,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
50317,2,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50318,4,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
50323,2,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
50328,2,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50329,4,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
50334,2,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50335,4,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
50340,2,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50341,4,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
50346,2,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50347,4,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
50353,2,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50354,2,Collection[1],tourelle3,3,0.3490658,-0.2617994,0.3490658,null,null,null
50361,2,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50362,2,Collection[1],tourelle3,3,0.3490658,-0.2617994,0.3490658,null,null,null
50367,2,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50368,4,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
50373,2,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50374,4,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
50380,2,Collection[1],tourelle2,2,1.570796,-0.5235988,1.047198,null,null,null
50381,4,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
50387,8,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50388,2,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
50396,2,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
50403,8,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50409,8,Collection[1],tourelle2,2,1.570796,-0.5235988,0.3490658,null,null,null
50414,2,Collection[1],tourelle1,1,0.3490658,-0.2617994,0.3490658,TargetPositionTurret1,FlyingTimeAndHit1,null
50419,2,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50420,4,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
50424,1,Collection[1],tourelle1,1,1.570796,-0.5235988,0.3490658,null,null,null
50442,2,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50446,2,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50457,8,Collection[1],tourelle1,1,1.570796,-0.5235988,0.3490658,null,null,null
50478,1,Collection[1],tourelle1,1,0.2792527,-0.3490658,0.1745329,TargetPositionTurret1,FlyingTimeAndHit1,null
50485,2,Collection[1],tourelle1,1,0.3490658,-0.2617994,0.3490658,null,null,null
50497,6,Collection[1],tourelle1,1,1.570796,-0.5235988,0.3490658,null,null,null
50501,6,Collection[1],tourelle1,1,1.570796,-0.5235988,0.3490658,null,null,null
50505,2,Collection[1],tourelle1,1,0.3490658,-0.5235988,0.3490658,TargetPositionTurret1,FlyingTimeAndHit1,null
50506,2,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50518,1,Collection[1],tourelle1,1,0.2792527,-0.3490658,0.1745329,TargetPositionTurret1,FlyingTimeAndHit1,null
50564,2,Collection[2],tourelle1,1,0.2792527,-0.3490658,0.1745329,TargetPositionTurret1,FlyingTimeAndHit1,null
50568,4,Collection[1],tourelle1,1,1.570796,-0.5235988,0.3490658,null,null,null
50576,2,Collection[1],tourelle1,1,0.3490658,-0.2617994,0.3490658,null,null,null
50580,6,Collection[1],tourelle1,1,1.570796,-0.5235988,0.3490658,null,null,null
50587,4,Collection[1],tourelle1,1,1.570796,-0.5235988,0.3490658,null,null,null
50595,2,Collection[1],tourelle1,1,0.2792527,-0.3490658,0.1745329,TargetPositionTurret1,FlyingTimeAndHit1,null
50596,2,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50604,2,Collection[1],tourelle3,3,1.570796,-0.5235988,1.047198,null,null,null
50605,2,Collection[1],tourelle2,2,1.570796,-0.5235988,0.3490658,null,null,null
50610,2,Collection[1],tourelle3,3,1.570796,-0.5235988,1.047198,null,null,null
50611,2,Collection[1],tourelle2,2,1.570796,-0.5235988,0.3490658,null,null,null
50616,2,Collection[1],tourelle1,1,0.2792527,-0.3490658,0.1745329,TargetPositionTurret1,FlyingTimeAndHit1,null
50620,4,Collection[1],tourelle1,1,0.3490658,-0.2617994,0.3490658,null,null,null
50624,4,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50630,4,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50656,4,Collection[1],tourelle1,1,0.3490658,-0.2617994,0.3490658,null,null,null
50662,4,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50663,4,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
50675,4,Collection[1],tourelle2,2,1.570796,-0.5235988,0.3490658,null,null,null
50682,4,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50687,1,Collection[2],tourelle1,1,0.2792527,-0.3490658,0.1745329,TargetPositionTurret1,FlyingTimeAndHit1,null
50688,2,Collection[1],tourelle2,2,1.570796,-0.5235988,0.3490658,null,null,null
50689,8,Collection[1],tourelle3,3,1.570796,-0.5235988,1.047198,null,null,null
50694,1,Collection[2],tourelle1,1,0.2792527,-0.3490658,0.1745329,TargetPositionTurret1,FlyingTimeAndHit1,null
50695,2,Collection[1],tourelle2,2,1.570796,-0.5235988,0.3490658,null,null,null
50696,8,Collection[1],tourelle3,3,1.570796,-0.5235988,1.047198,null,null,null
50701,4,Collection[1],tourelle1,1,1.570796,-0.5235988,0.3490658,null,null,null
50706,4,Collection[1],tourelle1,1,1.570796,-0.5235988,0.3490658,null,null,null
50711,2,Collection[1],tourelle2,2,1.570796,-0.5235988,0.3490658,null,null,null
50712,8,Collection[1],tourelle3,3,1.570796,-0.5235988,1.047198,null,null,null
50721,8,Collection[1],tourelle1,1,1.570796,-0.5235988,0.3490658,null,null,null
50725,2,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50729,2,Collection[2],tourelle1,1,0.2792527,-0.3490658,0.1745329,TargetPositionTurret1,FlyingTimeAndHit1,null
50733,8,Collection[1],tourelle1,1,1.570796,-0.5235988,0.3490658,null,null,null
50741,2,Collection[1],tourelle2,2,1.570796,-0.5235988,0.3490658,null,null,null
50749,4,Collection[1],tourelle1,1,1.570796,-0.5235988,0.3490658,null,null,null
50753,1,Collection[1],tourelle1,1,0.2792527,-0.3490658,0.1745329,TargetPositionTurret1,FlyingTimeAndHit1,null
50760,2,Collection[1],tourelle1,1,0.3490658,-0.2617994,0.3490658,null,null,null
50765,2,Collection[1],tourelle1,1,0.3490658,-0.2617994,0.3490658,null,null,null
50770,4,Collection[1],tourelle1,1,1.570796,-0.5235988,0.3490658,null,null,null
50775,4,Collection[1],tourelle1,1,1.570796,-0.5235988,0.3490658,null,null,null
50780,2,Collection[2],tourelle1,1,0.2792527,-0.3490658,0.1745329,TargetPositionTurret1,FlyingTimeAndHit1,null
50781,8,Collection[1],tourelle2,2,0.2792527,-0.3490658,0.1745329,TargetPositionTurret2,FlyingTimeAndHit2,null
50782,2,Collection[1],tourelle3,3,1.570796,-0.5235988,1.047198,null,null,null
50791,4,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50792,4,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
50797,2,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50798,8,Collection[1],tourelle3,3,1.570796,-0.5235988,1.047198,null,null,null
50806,2,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50807,8,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
50824,1,Collection[2],tourelle3,3,0.2792527,-0.3490658,0.1745329,TargetPositionTurret3,FlyingTimeAndHit3,null
50825,2,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50829,1,Collection[2],tourelle3,3,0.2792527,-0.3490658,0.1745329,TargetPositionTurret3,FlyingTimeAndHit3,null
50830,4,Collection[1],tourelle1,1,1.570796,-0.5235988,0.3490658,null,null,null
50831,4,Collection[1],tourelle2,2,1.570796,-0.5235988,1.047198,null,null,null
50836,1,Collection[2],tourelle3,3,0.2792527,-0.3490658,0.1745329,TargetPositionTurret3,FlyingTimeAndHit3,null
50837,4,Collection[1],tourelle1,1,1.570796,-0.5235988,0.3490658,null,null,null
50841,1,Collection[2],tourelle3,3,0.2792527,-0.3490658,0.1745329,TargetPositionTurret3,FlyingTimeAndHit3,null
50842,4,Collection[1],tourelle2,2,1.570796,-0.5235988,1.047198,null,null,null
50847,1,Collection[2],tourelle3,3,0.2792527,-0.3490658,0.1745329,TargetPositionTurret3,FlyingTimeAndHit3,null
50848,4,Collection[1],tourelle1,1,0.2792527,-0.3490658,0.1745329,TargetPositionTurret1,FlyingTimeAndHit1,null
50859,4,Collection[1],tourelle1,1,0.3490658,-0.2617994,0.3490658,null,null,null
50864,4,Collection[1],tourelle1,1,0.3490658,-0.2617994,0.3490658,null,null,null
50869,4,Collection[1],tourelle1,1,0.3490658,-0.2617994,0.3490658,null,null,null
50874,4,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50875,4,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
50881,4,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50882,4,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
50888,4,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50889,4,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
50895,4,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50896,4,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
50901,1,Collection[2],tourelle1,1,0.2792527,-0.3490658,0.1745329,TargetPositionTurret1,FlyingTimeAndHit1,null
50902,4,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50903,4,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
50908,4,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50909,4,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
50914,2,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50915,8,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
50921,4,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50922,4,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
50928,4,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50934,4,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50935,4,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
50941,4,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50942,4,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
50948,2,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50949,8,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
50953,1,Collection[2],tourelle1,1,0.2792527,-0.3490658,0.1745329,TargetPositionTurret1,FlyingTimeAndHit1,null
50954,4,Collection[1],tourelle2,2,1.570796,-0.5235988,1.047198,null,null,null
50955,4,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
50961,4,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50967,4,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50973,4,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
50974,4,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
51006,4,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
51026,4,Collection[1],tourelle1,1,0.3490658,-0.2617994,0.3490658,null,null,null
51031,4,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
51036,4,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
51041,4,Collection[1],tourelle1,1,0.3490658,-0.2617994,0.3490658,null,null,null
51046,4,Collection[1],tourelle1,1,0.3490658,-0.2617994,0.3490658,null,null,null
51050,4,Collection[2],tourelle1,1,0.2792527,-0.3490658,0.1745329,TargetPositionTurret1,FlyingTimeAndHit1,null
51051,2,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
51058,4,Collection[1],tourelle1,1,0.3490658,-0.2617994,0.3490658,null,null,null
51063,4,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
51064,1,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
51069,4,Collection[1],tourelle1,1,0.3490658,-0.2617994,0.3490658,null,null,null
51076,4,Collection[1],tourelle2,2,1.570796,-0.5235988,0.3490658,null,null,null
51084,2,Collection[2],tourelle1,1,0.2792527,-0.3490658,0.1745329,TargetPositionTurret1,FlyingTimeAndHit1,null
51097,1,Collection[1],tourelle1,1,1.570796,-0.5235988,1.047198,null,null,null
51102,1,Collection[1],tourelle1,1,0.2792527,-0.3490658,0.1745329,TargetPositionTurret1,FlyingTimeAndHit1,null
51106,1,Collection[1],tourelle1,1,0.2792527,-0.3490658,0.1745329,TargetPositionTurret1,FlyingTimeAndHit1,null
51107,1,Collection[1],tourelle3,3,0.3490658,-0.2617994,0.3490658,null,null,null
51114,1,Collection[1],tourelle1,1,1.570796,-0.5235988,0.3490658,null,null,null
51118,1,Collection[1],tourelle1,1,1.570796,-0.5235988,1.047198,null,null,null
51122,2,Collection[1],tourelle1,1,0.3490658,-0.2617994,0.3490658,null,null,null
51127,4,Collection[1],tourelle1,1,1.570796,-0.5235988,0.3490658,null,null,null
51135,8,Collection[1],tourelle2,2,1.570796,-0.5235988,0.3490658,null,null,null
51144,6,Collection[1],tourelle1,1,1.570796,-0.5235988,0.3490658,null,null,null
51155,1,Collection[1],tourelle1,1,1.570796,-0.5235988,1.047198,null,null,null
51156,2,Collection[1],tourelle2,2,0.2792527,-0.1396263,0.1396263,null,null,null
51157,8,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
51173,1,Collection[2],tourelle1,1,0.2792527,-0.3490658,0.1745329,TargetPositionTurret1,FlyingTimeAndHit1,null
51177,2,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
51193,2,Collection[1],tourelle3,3,1.570796,-0.5235988,1.047198,null,null,null
51198,2,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
51203,4,Collection[1],tourelle1,1,1.570796,-0.5235988,0.3490658,null,null,null
51208,4,Collection[1],tourelle1,1,1.570796,-0.5235988,0.3490658,null,null,null
51223,1,Collection[1],tourelle1,1,1.570796,-0.5235988,0.3490658,null,null,null
51228,1,Collection[2],tourelle1,1,0.2792527,-0.3490658,0.1745329,TargetPositionTurret1,FlyingTimeAndHit1,null
51229,4,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
51230,4,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
51236,2,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
51237,8,Collection[1],tourelle3,3,1.570796,-0.5235988,0.3490658,null,null,null
51243,2,Collection[1],tourelle2,2,0.2792527,-0.1396263,0.1396263,null,null,null
51244,8,Collection[1],tourelle3,3,1.570796,-0.5235988,1.047198,null,null,null
51250,2,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
51251,4,Collection[1],tourelle3,3,0.3490658,-0.2617994,0.3490658,null,null,null
51256,2,Collection[1],tourelle2,2,0.3490658,-0.2617994,0.3490658,null,null,null
51257,2,Collection[1],tourelle3,3,1.570796,-0.5235988,1.047198,null,null,null
51279,2,Collection[1],tourelle1,1,0.3490658,-0.2617994,0.3490658,null,null,null
51284,2,Collection[1],tourelle1,1,0.3490658,-0.2617994,0.3490658,null,null,null
