[ID],ControllerName,UnitStealthBonus,_ShortDatabaseName
30940,VisibilityController,1,null
31063,VisibilityController,2,null
31077,VisibilityController,2.5,null
31175,VisibilityController,1.5,null
32370,VisibilityController,3,null
39122,VisibilityController,0.8,null
39145,VisibilityController,0.7,null
39167,VisibilityController,0.1,null
39187,VisibilityController,1.2,null
39197,VisibilityController,0.05,null
39235,VisibilityController,0.6,null
39262,VisibilityController,0.4,null
39283,VisibilityController,0.75,null
39333,VisibilityController,0.9,null
39363,VisibilityController,0.5,null
39372,VisibilityController,0.3,null
40411,VisibilityController,1.75,null
42054,VisibilityController,1.25,null
42609,VisibilityController,null,null
103676,VisibilityController,null,VisibilityModuleDescriptor
