[ID],ArmorDescriptorFront,ArmorDescriptorSides,ArmorDescriptorRear,ArmorDescriptorTop
53401,202 : 73615 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor
53430,202 : 73616 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor
53487,202 : 73678 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
53557,202 : 73615 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor,202 : 73728 (True) - TArmorDescriptor
53593,202 : 73751 (True) - TArmorDescriptor,202 : 73751 (True) - TArmorDescriptor,202 : 73751 (True) - TArmorDescriptor,202 : 73751 (True) - TArmorDescriptor
53633,202 : 73728 (True) - TArmorDescriptor,202 : 73728 (True) - TArmorDescriptor,202 : 73728 (True) - TArmorDescriptor,202 : 73728 (True) - TArmorDescriptor
53745,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor
53829,202 : 73917 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor
53876,202 : 73947 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor
53891,202 : 73955 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
53916,202 : 73968 (True) - TArmorDescriptor,202 : 73678 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
53926,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor
53949,202 : 73986 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
53963,202 : 73992 (True) - TArmorDescriptor,202 : 73947 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
53976,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
54158,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor
54290,202 : 73986 (True) - TArmorDescriptor,202 : 73947 (True) - TArmorDescriptor,202 : 73678 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
54355,202 : 73679 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor
54386,202 : 73616 (True) - TArmorDescriptor,202 : 73728 (True) - TArmorDescriptor,202 : 73728 (True) - TArmorDescriptor,202 : 73728 (True) - TArmorDescriptor
54606,202 : 73678 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor
54617,202 : 73917 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor
54680,202 : 74429 (True) - TArmorDescriptor,202 : 74430 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
54754,202 : 73616 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor,202 : 73728 (True) - TArmorDescriptor
55113,202 : 74668 (True) - TArmorDescriptor,202 : 73678 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
55256,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor,202 : 73728 (True) - TArmorDescriptor
55375,202 : 73917 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor
55470,202 : 73679 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor
55549,202 : 74927 (True) - TArmorDescriptor,202 : 73678 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
55612,202 : 74963 (True) - TArmorDescriptor,202 : 73678 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor
55633,202 : 73947 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
55715,202 : 73955 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor
55824,202 : 74963 (True) - TArmorDescriptor,202 : 74430 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor
55838,202 : 73947 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor
55847,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
55873,202 : 74430 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
55884,202 : 74429 (True) - TArmorDescriptor,202 : 73947 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor
55895,202 : 73678 (True) - TArmorDescriptor,202 : 73679 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor,202 : 73616 (True) - TArmorDescriptor
55916,202 : 74927 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
55929,202 : 73992 (True) - TArmorDescriptor,202 : 73917 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor,202 : 73615 (True) - TArmorDescriptor
