[ID],ControllerName,BehaviourDescriptor,GfxPorteur,GfxPorteurGhost,GfxWeaponModels,PositionModule,WeaponManagerModule,CadavreModule,DamageModule
31067,GroupeCombatController,146 : 42832 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 42834 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
31079,GroupeCombatController,146 : 42840 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 42841 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
31090,GroupeCombatController,146 : 42847 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 42848 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
31097,GroupeCombatController,146 : 42853 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 42854 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
31345,GroupeCombatController,146 : 43026 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43027 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
31350,GroupeCombatController,146 : 43032 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43033 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
31355,GroupeCombatController,146 : 43038 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43039 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
31360,GroupeCombatController,146 : 43044 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43045 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
31365,GroupeCombatController,146 : 43050 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43051 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
31371,GroupeCombatController,146 : 43056 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43057 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
31379,GroupeCombatController,146 : 43062 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43063 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
31386,GroupeCombatController,146 : 43068 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43069 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
31393,GroupeCombatController,146 : 43074 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43075 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
31400,GroupeCombatController,146 : 43080 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43081 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
31408,GroupeCombatController,146 : 43086 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43087 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
31413,GroupeCombatController,146 : 43092 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43093 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
31420,GroupeCombatController,146 : 43098 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43099 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
31485,GroupeCombatController,146 : 43148 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43149 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
31490,GroupeCombatController,146 : 43154 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43155 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
31495,GroupeCombatController,146 : 43160 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43161 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
31500,GroupeCombatController,146 : 43166 (False) - TUniteBehaviourDescriptor,43 : 42833 (True) - TGfxDescriptorPorteur,43 : 16453 (True) - TGfxDescriptorPorteur,147 : 43167 (True) - TWeaponModelHolder,Position,WeaponManager,Cadavre,Damage
