,Hash,String
0,DC02000000000000,Anti-Radar
1,4203000000000000,C1A1 SLR
2,4303000000000000,C2A1
3,9A03000000000000,Type 64 LMG
4,4405000000000000,K3 LMG
5,4505000000000000,K4
6,C705000000000000,M6
7,0B06000000000000,NA
8,4607000000000000,S-5M
9,4907000000000000,S-8OFP
10,A007000000000000,TV guidance
11,D560000000000000,SPW-152K
12,C4A5000000000000,9M3
13,B2AC000000000000,9mm PB
14,D7B2000000000000,AAM
15,44B4000000000000,AG-3
16,57B4000000000000,AGM
17,8DB6000000000000,Armored Personnel Carrier
18,57B7000000000000,Anti-Ship Missile
19,85B7000000000000,AT4
20,05BC000000000000,AK4
21,06BC000000000000,AK5
22,81C0000000000000,B-10
23,DCC2000000000000,Kg m/37
24,C3E0000000000000,D-22
25,45E1000000000000,D44
26,46E1000000000000,D-45
27,4AE1000000000000,D-49
28,01E2000000000000,D-70
29,57F3000000000000,Electronic Warfare
30,8700010000000000,F-16A FIGHTING FALCON
31,5A05010000000000,FKP
32,4C06010000000000,FOB
33,5507010000000000,FSK
34,CB12010000000000,Ground Attack Aircraft
35,0925010000000000,HJ-8
36,0A25010000000000,HJ-9
37,D125010000000000,HMG
38,C826010000000000,HQ-7
39,2034010000000000,Infantry Fighting Vehicle
40,EB3C010000000000,Rifle Squad
41,0B53010000000000,KBA 25
42,4C53010000000000,KCB
43,8F53010000000000,KDE 35
44,8360010000000000,L-12
45,8760010000000000,L16A2
46,8960010000000000,L-18
47,8A60010000000000,L-19
48,C960010000000000,L28
49,0161010000000000,L30
50,C361010000000000,L/62
51,4762010000000000,L86 LMG
52,E162010000000000,LAW
53,D165010000000000,LMG
54,8367010000000000,LT-2
55,C770010000000000,M26
56,CA70010000000000,M29
57,0371010000000000,M32
58,0871010000000000,M37
59,4171010000000000,M40
60,4271010000000000,M41A1 #reco1
61,C271010000000000,M61A1 Vulcan
62,0172010000000000,M70
63,0672010000000000,M75
64,4572010000000000,M-84
65,E172010000000000,MAW
66,1E73010000000000,Main Battle Tank
67,C374010000000000,Mi-2 #reco2
68,C574010000000000,Mi-4
69,CA74010000000000,Mi-8R #reco3
70,D175010000000000,MMG
71,877B010000000000,Mi-6
72,0881010000000000,N-37
73,269E010000000000,MOSKIT
74,57A5010000000000,PKM
75,83A5010000000000,PL-2
76,86A5010000000000,PL-5
77,88A5010000000000,PL-7
78,89A5010000000000,PL-8
79,42B8010000000000,QW-1
80,43B8010000000000,QW-2
81,08C1010000000000,R-37 Vympel
82,41C1010000000000,R-40R Vympel
83,C1C1010000000000,R-60 Molniya
84,04C2010000000000,R-73A Vympel
85,08C2010000000000,R-77 Vympel
86,8EC6010000000000,RPD
87,B4CB010000000000,RIO
88,C5D0010000000000,S-24B
89,84D1010000000000,S-53
90,C9D1010000000000,S-68A
91,D7D2010000000000,SAM
92,DDD2010000000000,SAS
93,E1D2010000000000,SAW
94,1DD3010000000000,SBS  #reco2
95,03D4010000000000,SF2
96,D1D5010000000000,SMG
97,57D7010000000000,SSM
98,C2E0010000000000,T21 Tarasnice
99,86E1010000000000,T-55 #reco1
100,C3E1010000000000,T-62
101,03E2010000000000,T-72
102,41E2010000000000,T-80
103,EEFF010000000000,MP2A1
104,CC02020000000000,VAB
105,A003020000000000,VDV
106,C425020000000000,FFAR
107,0235020000000000,C-802
108,0835020000000000,YJ-7
109,0935020000000000,YJ-8K
110,DC92020000000000,Anti-Radiation missiles are dedicated anti-air defense missiles
111,B25C080000000000,14
112,C160080000000000,WIP
113,03140C0000000000,F2
114,B21C0C0000000000,20mm
115,B24C0C0000000000,23mm
116,B26C0C0000000000,25mm
117,B28C0C0000000000,27mm
118,89B00C0000000000,2A18
119,C1B00C0000000000,2A20
120,C7B00C0000000000,2A26
121,45B10C0000000000,2A44
122,47B10C0000000000,2A46
123,82B10C0000000000,2A51 Nona
124,C1B10C0000000000,2A60 Nona
125,C3B10C0000000000,2A62
126,C5B10C0000000000,2A64
127,01B20C0000000000,2A70
128,03B20C0000000000,2A72
129,17710D0000000000,Dual Type 2M-3M
130,D7C00D0000000000,2R2M
131,B21C100000000000,30mm
132,B26C100000000000,35mm
133,B28C100000000000,37mm
134,8652110000000000,3K95 Kinzhal
135,B21C140000000000,40mm
136,B26C140000000000,45mm
137,B21C180000000000,50mm
138,1536180000000000,BTR-152
139,4E40180000000000,Super 530 D
140,5040180000000000,Super 530 F
141,B26C180000000000,55mm
142,B28C180000000000,57mm
143,B29C180000000000,58mm
144,B21C1C0000000000,60mm
145,B27C1C0000000000,66mm
146,B28C1C0000000000,67mm
147,9C971C0000000000,68TR
148,B29C1C0000000000,68mm
149,B21C200000000000,70mm
150,B23C200000000000,72mm
151,B24C200000000000,73mm
152,B26C200000000000,75mm
153,8675200000000000,L5A1
154,B27C200000000000,76mm
155,B21C240000000000,80mm
156,B22C240000000000,81mm
157,B23C240000000000,82mm
158,B24C240000000000,83mm
159,B25C240000000000,84mm
160,B26C240000000000,85mm
161,B29C240000000000,88mm
