[ID],MinimalHitProbability,MinimalCritProbability,HitProbability,HitProbabilityWhileMoving
30955,0.05,0.01,null,null
85456,0.05,0.01,0.25,0.05
85458,0.05,0.01,0.1,0.05
85474,0.05,0.01,0.4,0.35
85497,0.05,0.01,0.5,0.35
85499,0.05,0.01,0.65,0.65
85502,0.05,0.01,0.5,0.5
85517,0.05,0.01,0.5,0.25
85523,0.05,0.01,0.15,0.05
85561,0.05,0.01,0.2,0.05
85565,0.05,0.01,0.2,0.2
85567,0.05,0.01,0.4,0.2
85589,0.05,0.01,0.3,0.2
85591,0.05,0.01,0.4,0.4
85593,0.05,0.01,0.6,0.05
85595,0.05,0.01,0.3,0.15
85611,0.05,0.01,0.4,0.1
85613,0.05,0.01,0.2,0.1
85632,0.05,0.01,0.5,0.05
85645,0.05,0.01,0.55,0.55
85650,0.05,0.01,0.35,0.35
85656,0.05,0.01,0.5,0.4
85682,0.05,0.01,0.3,0.05
85708,0.05,0.01,0.4,0.05
85721,0.05,0.01,0.5,0.1
85728,0.05,0.01,0.55,0.05
85745,0.05,0.01,0.35,0.05
85748,0.05,0.01,0.35,0.1
85751,0.05,0.01,0.45,0.05
85755,0.05,0.01,0.65,0.05
85766,0.05,0.01,0.65,0.3
85779,0.05,0.01,0.45,0.3
85781,0.05,0.01,0.6,0.6
85797,0.05,0.01,0.3,0.1
85822,0.05,0.01,0.6,0.15
85859,0.05,0.01,0.7,0.05
85876,0.05,0.01,0.8,0.8
85878,0.05,0.01,0.4,0.25
85905,0.05,0.01,0.45,0.45
85968,0.05,0.01,0.6,0.3
85971,0.05,0.01,0.7,0.5
86081,0.05,0.01,0.85,0.6
86098,0.05,0.01,0.45,0.2
86107,0.05,0.01,0.25,0.1
86117,0.05,0.01,0.15,0.1
86133,0.05,0.01,0.65,0.35
86138,0.05,0.01,0.45,0.25
86140,0.05,0.01,0.4,0.3
86143,0.05,0.01,0.45,0.1
86185,0.05,0.01,0.5,0.2
86288,0.05,0.01,0.95,0.2
86303,0.05,0.01,0.7,0.7
86323,0.05,0.01,0.7,0.4
86355,0.05,0.01,0.45,0.23
86422,0.05,0.01,0.65,0.55
86476,0.05,0.01,0.5,0.3
86501,0.05,0.01,0.3,0.3
86562,0.05,0.01,0.23,0.1
86632,0.05,0.01,0.6,0.4
86638,0.05,0.01,0.6,0.45
86641,0.05,0.01,0.6,0.5
86655,0.05,0.01,0.4,0.15
86718,0.05,0.01,0.7,null
86721,0.05,0.01,0.45,0.15
86724,0.05,0.01,0.55,0.25
86731,0.05,0.01,0.7,0.65
86734,0.05,0.01,0.65,0.5
86765,0.05,0.01,0.6,0.35
86772,0.05,0.01,0.55,0.3
87135,0.05,0.01,0.6,0.1
87319,0.05,0.01,0.6,0.55
87326,0.05,0.01,0.15,0.15
87376,0.05,0.01,0.05,0.05
87520,0.05,0.01,0.8,0.2
87749,0.05,0.01,0.55,0.15
87780,0.05,0.01,0.5,0.45
87918,0.05,0.01,0.5,0.15
88040,0.05,0.01,0.8,0.4
88102,0.05,0.01,0.45,0.35
88113,0.05,0.01,0.65,0.6
88270,0.05,0.01,0.55,0.5
88355,0.05,0.01,0.65,0.45
88360,0.05,0.01,0.55,0.45
88392,0.05,0.01,0.55,0.35
88883,0.05,0.01,0.55,0.4
89504,0.05,0.01,0.75,0.85
89564,0.05,0.01,0.4,0.5
89810,0.05,0.01,0.25,0.15
90005,0.05,0.01,0.6,0.2
90008,0.05,0.01,0.6,0.25
90352,0.05,0.01,0.55,0.1
90698,0.05,0.01,0.25,0.25
91062,0.05,0.01,0.7,0.35
91124,0.05,0.01,0.35,0.25
91171,0.05,0.01,0.35,0.2
91358,0.05,0.01,0.7,0.6
91491,0.05,0.01,0.1,0.1
93087,0.05,0.01,0.85,0.85
93279,0.05,0.01,0.75,0.75
102189,0.05,0.01,0.45,0.4
102197,0.05,0.01,1,1
104594,0.05,0.05,0.3,0.2
