[ID],Ammunition,EffectTag,SalvoStockIndex,SalvoStockIndex_ForInterface,TirEnMouvement,TirContinu,AnimateOnlyOneSoldier
53392,89 : 73611 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
53393,89 : 73612 (True) - TAmmunition,weapon_effet_tag2,null,null,null,null,null
53394,89 : 73613 (True) - TAmmunition,weapon_effet_tag3,1,1,True,null,null
53396,89 : 73614 (True) - TAmmunition,weapon_effet_tag4,2,2,True,True,True
53428,89 : 73639 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
53445,89 : 73650 (True) - TAmmunition,weapon_effet_tag1,null,null,True,True,null
53446,89 : 73651 (True) - TAmmunition,weapon_effet_tag2,1,1,null,null,null
53454,89 : 73650 (True) - TAmmunition,weapon_effet_tag1,null,null,True,True,null
53455,89 : 73656 (True) - TAmmunition,weapon_effet_tag2,1,1,null,null,null
53471,89 : 73667 (True) - TAmmunition,weapon_effet_tag1,null,null,True,null,null
53472,89 : 73668 (True) - TAmmunition,weapon_effet_tag2,null,null,True,null,null
53482,89 : 73674 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
53483,89 : 73675 (True) - TAmmunition,weapon_effet_tag2,null,null,null,null,null
53484,89 : 73676 (True) - TAmmunition,weapon_effet_tag4,1,1,True,null,null
53485,89 : 73677 (True) - TAmmunition,weapon_effet_tag3,2,2,True,True,True
53486,89 : 73677 (True) - TAmmunition,weapon_effet_tag5,2,2,True,True,True
53497,89 : 73686 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
53498,89 : 73687 (True) - TAmmunition,weapon_effet_tag2,null,null,null,null,null
53499,89 : 73688 (True) - TAmmunition,weapon_effet_tag3,1,1,null,null,null
53507,89 : 73686 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
53508,89 : 73687 (True) - TAmmunition,weapon_effet_tag2,null,null,null,null,null
53509,89 : 73688 (True) - TAmmunition,weapon_effet_tag3,1,1,null,null,null
53520,89 : 73701 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
53521,89 : 73702 (True) - TAmmunition,weapon_effet_tag2,null,null,null,null,null
53522,89 : 73703 (True) - TAmmunition,weapon_effet_tag3,1,1,null,null,null
53523,89 : 73704 (True) - TAmmunition,weapon_effet_tag4,2,2,True,True,True
53532,89 : 73710 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
53533,89 : 73711 (True) - TAmmunition,weapon_effet_tag2,null,null,null,null,null
53534,89 : 73712 (True) - TAmmunition,weapon_effet_tag3,1,1,null,null,null
53535,89 : 73704 (True) - TAmmunition,weapon_effet_tag4,2,2,True,True,True
53544,89 : 73718 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
53545,89 : 73719 (True) - TAmmunition,weapon_effet_tag2,null,null,null,null,null
53546,89 : 73704 (True) - TAmmunition,weapon_effet_tag3,1,1,True,True,True
53555,89 : 73726 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
53556,89 : 73727 (True) - TAmmunition,weapon_effet_tag2,null,null,null,null,null
53565,89 : 73733 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
53566,89 : 73734 (True) - TAmmunition,weapon_effet_tag2,null,null,null,null,null
53574,89 : 73733 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
53575,89 : 73734 (True) - TAmmunition,weapon_effet_tag2,null,null,null,null,null
53584,89 : 73743 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
53585,89 : 73744 (True) - TAmmunition,weapon_effet_tag2,null,null,null,null,null
53586,89 : 73745 (True) - TAmmunition,weapon_effet_tag3,1,1,null,null,null
53590,89 : 73748 (True) - TAmmunition,weapon_effet_tag1,null,null,True,null,null
53591,89 : 73749 (True) - TAmmunition,weapon_effet_tag3,null,null,True,null,null
53592,89 : 73750 (True) - TAmmunition,weapon_effet_tag4,2,2,null,True,True
53602,89 : 73760 (True) - TAmmunition,weapon_effet_tag1,null,null,True,null,null
53603,89 : 73761 (True) - TAmmunition,weapon_effet_tag3,null,null,True,null,null
53604,89 : 73762 (True) - TAmmunition,weapon_effet_tag2,1,1,null,null,True
53605,89 : 73763 (True) - TAmmunition,weapon_effet_tag4,2,2,null,True,True
53610,89 : 73768 (True) - TAmmunition,weapon_effet_tag1,null,null,True,null,null
53611,89 : 73769 (True) - TAmmunition,weapon_effet_tag3,null,null,True,null,null
53612,89 : 73770 (True) - TAmmunition,weapon_effet_tag2,1,1,null,null,True
53613,89 : 73771 (True) - TAmmunition,weapon_effet_tag4,2,2,null,True,True
53618,89 : 73776 (True) - TAmmunition,weapon_effet_tag1,null,null,True,null,null
53619,89 : 73777 (True) - TAmmunition,weapon_effet_tag3,null,null,True,null,null
53620,89 : 73778 (True) - TAmmunition,weapon_effet_tag2,1,1,null,null,True
53621,89 : 73779 (True) - TAmmunition,weapon_effet_tag4,2,2,null,True,True
53632,89 : 73787 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
53641,89 : 73792 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
53649,89 : 73797 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
53657,89 : 73787 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
53666,89 : 73807 (True) - TAmmunition,weapon_effet_tag1,null,null,True,null,null
53676,89 : 73815 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
53686,89 : 73823 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
53702,89 : 73834 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
53703,89 : 73835 (True) - TAmmunition,weapon_effet_tag2,1,1,True,null,null
53704,89 : 73836 (True) - TAmmunition,weapon_effet_tag5,null,null,null,null,null
53705,89 : 73837 (True) - TAmmunition,weapon_effet_tag3,2,2,True,True,True
53706,89 : 73838 (True) - TAmmunition,weapon_effet_tag4,2,2,True,True,True
53718,89 : 73847 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
53719,89 : 73848 (True) - TAmmunition,weapon_effet_tag2,null,null,null,null,null
53720,89 : 73849 (True) - TAmmunition,weapon_effet_tag3,1,1,null,null,null
53729,89 : 73855 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
53730,89 : 73856 (True) - TAmmunition,weapon_effet_tag2,null,null,null,null,null
53741,89 : 73865 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
53742,89 : 73866 (True) - TAmmunition,weapon_effet_tag2,null,null,null,null,null
53744,89 : 73867 (True) - TAmmunition,weapon_effet_tag3,1,1,True,True,True
53753,89 : 73872 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
53754,89 : 73873 (True) - TAmmunition,weapon_effet_tag2,null,null,null,null,null
53755,89 : 73867 (True) - TAmmunition,weapon_effet_tag3,1,1,True,True,True
53767,89 : 73881 (True) - TAmmunition,weapon_effet_tag1,null,null,True,True,null
53775,89 : 73855 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
53776,89 : 73856 (True) - TAmmunition,weapon_effet_tag2,null,null,null,null,null
53786,89 : 73837 (True) - TAmmunition,weapon_effet_tag1,null,null,True,True,null
53787,89 : 73838 (True) - TAmmunition,weapon_effet_tag2,null,null,True,True,null
