[ID],ControllerName,Maxspeed,UnitMovingType,SpeedBonusOnRoad,TempsDemiTour,MaxAcceleration,MaxDeceleration,VehicleSubType,CriticalEffectModule,TerrainsToIgnoreMask
30945,MouvementHandlerController,4160,3,0.875,6,1300,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
30964,MouvementHandlerController,2340,5,1.444444,4,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
30977,MouvementHandlerController,3120,5,0.8333333,3,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
30991,MouvementHandlerController,3120,8,0.8333333,6,1300,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
31003,MouvementHandlerController,3120,5,0.8333333,6,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
31020,MouvementHandlerController,4160,7,0.875,3,1300,2600,3,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
31028,MouvementHandlerController,2600,5,1.2,6,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
31056,MouvementHandlerController,2600,8,1.2,6,1300,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
31068,MouvementHandlerController,1560,1,null,0.1,4030,4030,2,97 : 31059 (True) - TCriticalEffectModuleDescriptor,null
31080,MouvementHandlerController,1950,1,null,0.1,4030,4030,2,97 : 31059 (True) - TCriticalEffectModuleDescriptor,null
31105,MouvementHandlerController,4160,7,0.875,3,1950,2600,3,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
31127,MouvementHandlerController,3120,8,0.8333333,3,1040,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
31136,MouvementHandlerController,2600,5,1.2,4,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
31153,MouvementHandlerController,4680,3,0.6666667,3,1950,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
31162,MouvementHandlerController,3380,5,0.6923077,7,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
31170,MouvementHandlerController,3120,5,0.8333333,5,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
31179,MouvementHandlerController,3120,5,0.8333333,4,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
31200,MouvementHandlerController,3380,5,0.6923077,3,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
31214,MouvementHandlerController,3380,8,0.6923077,4,1950,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
31233,MouvementHandlerController,4420,7,0.7647059,3,1950,2600,3,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
31242,MouvementHandlerController,4420,3,0.7647059,3,1950,2600,1,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
31275,MouvementHandlerController,3640,5,0.5714286,4,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
31305,MouvementHandlerController,3380,5,0.6923077,4,1300,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
31325,MouvementHandlerController,3380,5,0.6923077,3,1950,2600,null,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
31336,MouvementHandlerController,3380,8,0.6923077,5,1300,2600,3,97 : 30959 (True) - TCriticalEffectModuleDescriptor,null
31372,MouvementHandlerController,1170,1,null,0.1,4030,4030,2,97 : 31059 (True) - TCriticalEffectModuleDescriptor,null
31387,MouvementHandlerController,2340,1,null,0.1,4030,4030,2,97 : 31059 (True) - TCriticalEffectModuleDescriptor,null
31432,MouvementHandlerController,5200,7,0.5,3,1950,2600,3,97 : 30933 (True) - TCriticalEffectModuleDescriptor,null
