,Hash,String
0,DC02000000000000,Anti-Radar
1,4203000000000000,C1A1 SLR
2,4303000000000000,C2A1
3,9A03000000000000,Type 64 LMG
4,4405000000000000,K3 LMG
5,4505000000000000,K4
6,C705000000000000,M6
7,0B06000000000000,NA
8,4607000000000000,S-5M
9,4907000000000000,S-8OFP
10,A007000000000000,TV guidance
11,D560000000000000,SPW-152K
12,C4A5000000000000,9M3
13,B2AC000000000000,9mm PB
14,D7B2000000000000,AAM
15,44B4000000000000,AG-3
16,57B4000000000000,AGM
17,8DB6000000000000,Armored Personnel Carrier
18,57B7000000000000,Anti-Ship Missile
19,85B7000000000000,AT4
20,05BC000000000000,AK4
21,06BC000000000000,AK5
22,DCC2000000000000,Kg m/37
23,C3E0000000000000,D-22
24,45E1000000000000,D44
25,46E1000000000000,D-45
26,4AE1000000000000,D-49
27,01E2000000000000,D-70
28,57F3000000000000,Electronic Warfare
29,8700010000000000,F-16A FIGHTING FALCON
30,5A05010000000000,FKP
31,4C06010000000000,FOB
32,5507010000000000,FSK
33,CB12010000000000,Ground Attack Aircraft
34,0925010000000000,HJ-8
35,0A25010000000000,HJ-9
36,D125010000000000,HMG
37,C826010000000000,HQ-7
38,2034010000000000,Infantry Fighting Vehicle
39,EB3C010000000000,Rifle Squad
40,0B53010000000000,KBA 25
41,4C53010000000000,KCB
42,8F53010000000000,KDE 35
43,8360010000000000,L-12
44,8760010000000000,L16A2
45,8960010000000000,L-18
46,8A60010000000000,L-19
47,C960010000000000,L28
48,0161010000000000,L30
49,C361010000000000,L/62
50,4762010000000000,L86 LMG
51,E162010000000000,LAW
52,D165010000000000,LMG
53,8367010000000000,LT-2
54,C770010000000000,M26
55,CA70010000000000,M29
56,0371010000000000,M32
57,0871010000000000,M37
58,4171010000000000,M40
59,4271010000000000,M41A1 #reco1
60,C271010000000000,M61A1 Vulcan
61,0172010000000000,M70
62,0672010000000000,M75
63,4572010000000000,M-84
64,E172010000000000,MAW
65,1E73010000000000,Main Battle Tank
66,C374010000000000,Mi-2 #reco2
67,C574010000000000,Mi-4
68,CA74010000000000,Mi-8R #reco3
69,D175010000000000,MMG
70,877B010000000000,Mi-6
71,0881010000000000,N-37
72,269E010000000000,MOSKIT
73,57A5010000000000,PKM
74,83A5010000000000,PL-2
75,86A5010000000000,PL-5
76,88A5010000000000,PL-7
77,89A5010000000000,PL-8
78,42B8010000000000,QW-1
79,43B8010000000000,QW-2
80,08C1010000000000,R-37 Vympel
81,41C1010000000000,R-40R Vympel
82,C1C1010000000000,R-60 Molniya
83,04C2010000000000,R-73A Vympel
84,08C2010000000000,R-77 Vympel
85,8EC6010000000000,RPD
86,B4CB010000000000,RIO
87,C5D0010000000000,S-24B
88,84D1010000000000,S-53
89,C9D1010000000000,S-68A
90,D7D2010000000000,SAM
91,DDD2010000000000,SAS
92,E1D2010000000000,SAW
93,1DD3010000000000,SBS  #reco2
94,03D4010000000000,SF2
95,D1D5010000000000,SMG
96,57D7010000000000,SSM
97,C2E0010000000000,T21 Tarasnice
98,86E1010000000000,T-55 #reco1
99,C3E1010000000000,T-62
100,03E2010000000000,T-72
101,41E2010000000000,T-80
102,EEFF010000000000,MP2A1
103,CC02020000000000,VAB
104,A003020000000000,VDV
105,C425020000000000,FFAR
106,0235020000000000,C-802
107,0835020000000000,YJ-7
108,0935020000000000,YJ-8K
109,DC92020000000000,Anti-Radiation missiles are dedicated anti-air defense missiles
110,B25C080000000000,14
111,C160080000000000,WIP
112,03140C0000000000,F2
113,B21C0C0000000000,20mm
114,B24C0C0000000000,23mm
115,B26C0C0000000000,25mm
116,B28C0C0000000000,27mm
117,89B00C0000000000,2A18
118,C1B00C0000000000,2A20
119,C7B00C0000000000,2A26
120,45B10C0000000000,2A44
121,47B10C0000000000,2A46
122,82B10C0000000000,2A51 Nona
123,C1B10C0000000000,2A60 Nona
124,C3B10C0000000000,2A62
125,C5B10C0000000000,2A64
126,01B20C0000000000,2A70
127,03B20C0000000000,2A72
128,17710D0000000000,Dual Type 2M-3M
129,D7C00D0000000000,2R2M
130,B21C100000000000,30mm
131,B26C100000000000,35mm
132,B28C100000000000,37mm
133,8652110000000000,3K95 Kinzhal
134,B21C140000000000,40mm
135,B26C140000000000,45mm
136,B21C180000000000,50mm
137,1536180000000000,BTR-152
138,4E40180000000000,Super 530 D
139,5040180000000000,Super 530 F
140,B26C180000000000,55mm
141,B28C180000000000,57mm
142,B29C180000000000,58mm
143,B21C1C0000000000,60mm
144,B27C1C0000000000,66mm
145,B28C1C0000000000,67mm
146,9C971C0000000000,68TR
147,B29C1C0000000000,68mm
148,B21C200000000000,70mm
149,B23C200000000000,72mm
150,B24C200000000000,73mm
151,B26C200000000000,75mm
152,8675200000000000,L5A1
153,B27C200000000000,76mm
154,B21C240000000000,80mm
155,B22C240000000000,81mm
156,B23C240000000000,82mm
157,B24C240000000000,83mm
158,B25C240000000000,84mm
159,B26C240000000000,85mm
160,B2AC240000000000,89mm
161,0214280000000000,F1
162,0414280000000000,F3
