,Hash,String
0,DC02000000000000,Anti-Radar
1,4203000000000000,C1A1 SLR
2,4303000000000000,C2A1
3,9A03000000000000,Type 64 LMG
4,4405000000000000,K3 LMG
5,4505000000000000,K4
6,C705000000000000,M6
7,0B06000000000000,NA
8,4607000000000000,S-5M
9,4907000000000000,S-8OFP
10,A007000000000000,TV guidance
11,D560000000000000,SPW-152K
12,C4A5000000000000,9M3
13,B2AC000000000000,9mm PB
14,D7B2000000000000,AAM
15,44B4000000000000,AG-3
16,57B4000000000000,AGM
17,8DB6000000000000,Armored Personnel Carrier
18,57B7000000000000,Anti-Ship Missile
19,85B7000000000000,AT4
20,05BC000000000000,AK4
21,06BC000000000000,AK5
22,DCC2000000000000,Kg m/37
23,C3E0000000000000,D-22
24,45E1000000000000,D44
25,46E1000000000000,D-45
26,4AE1000000000000,D-49
27,01E2000000000000,D-70
28,57F3000000000000,Electronic Warfare
29,8700010000000000,F-16A FIGHTING FALCON
30,5A05010000000000,FKP
31,4C06010000000000,FOB
32,5507010000000000,FSK
33,CB12010000000000,Ground Attack Aircraft
34,0925010000000000,HJ-8
35,0A25010000000000,HJ-9
36,D125010000000000,HMG
37,C826010000000000,HQ-7
38,2034010000000000,Infantry Fighting Vehicle
39,EB3C010000000000,Rifle Squad
40,0B53010000000000,KBA 25
41,4C53010000000000,KCB
42,8F53010000000000,KDE 35
43,8760010000000000,L16A2
44,C960010000000000,L28
45,0161010000000000,L30
46,C361010000000000,L/62
47,4762010000000000,L86 LMG
48,E162010000000000,LAW
49,D165010000000000,LMG
50,8367010000000000,LT-2
51,C770010000000000,M26
52,CA70010000000000,M29
53,0371010000000000,M32
54,0871010000000000,M37
55,4171010000000000,M40
56,4271010000000000,M41A1 #reco1
57,C271010000000000,M61A1 Vulcan
58,0172010000000000,M70
59,0672010000000000,M75
60,E172010000000000,MAW
61,1E73010000000000,Main Battle Tank
62,C374010000000000,Mi-2 #reco2
63,C574010000000000,Mi-4
64,CA74010000000000,Mi-8R #reco3
65,D175010000000000,MMG
66,877B010000000000,Mi-6
67,0881010000000000,N-37
68,269E010000000000,MOSKIT
69,57A5010000000000,PKM
70,83A5010000000000,PL-2
71,86A5010000000000,PL-5
72,88A5010000000000,PL-7
73,89A5010000000000,PL-8
74,42B8010000000000,QW-1
75,43B8010000000000,QW-2
76,08C1010000000000,R-37 Vympel
77,41C1010000000000,R-40R Vympel
78,C1C1010000000000,R-60 Molniya
79,04C2010000000000,R-73A Vympel
80,08C2010000000000,R-77 Vympel
81,8EC6010000000000,RPD
82,B4CB010000000000,RIO
83,C5D0010000000000,S-24B
84,84D1010000000000,S-53
85,C9D1010000000000,S-68A
86,D7D2010000000000,SAM
87,DDD2010000000000,SAS
88,E1D2010000000000,SAW
89,1DD3010000000000,SBS  #reco2
90,03D4010000000000,SF2
91,D1D5010000000000,SMG
92,57D7010000000000,SSM
93,C2E0010000000000,T21 Tarasnice
94,86E1010000000000,T-55 #reco1
95,C3E1010000000000,T-62
96,03E2010000000000,T-72
97,41E2010000000000,T-80
98,EEFF010000000000,MP2A1
99,CC02020000000000,VAB
100,A003020000000000,VDV
101,C425020000000000,FFAR
102,0235020000000000,C-802
103,0835020000000000,YJ-7
104,0935020000000000,YJ-8K
105,DC92020000000000,Anti-Radiation missiles are dedicated anti-air defense missiles
106,B25C080000000000,14
107,C160080000000000,WIP
108,03140C0000000000,F2
109,B21C0C0000000000,20mm
110,B24C0C0000000000,23mm
111,B26C0C0000000000,25mm
112,B28C0C0000000000,27mm
113,89B00C0000000000,2A18
114,C1B00C0000000000,2A20
115,C7B00C0000000000,2A26
116,45B10C0000000000,2A44
117,47B10C0000000000,2A46
118,82B10C0000000000,2A51 Nona
119,C1B10C0000000000,2A60 Nona
120,C3B10C0000000000,2A62
121,C5B10C0000000000,2A64
122,01B20C0000000000,2A70
123,03B20C0000000000,2A72
124,17710D0000000000,Dual Type 2M-3M
125,D7C00D0000000000,2R2M
126,B21C100000000000,30mm
127,B26C100000000000,35mm
128,B28C100000000000,37mm
129,8652110000000000,3K95 Kinzhal
130,B21C140000000000,40mm
131,B26C140000000000,45mm
132,B21C180000000000,50mm
133,1536180000000000,BTR-152
134,4E40180000000000,Super 530 D
135,5040180000000000,Super 530 F
136,B26C180000000000,55mm
137,B28C180000000000,57mm
138,B29C180000000000,58mm
139,B21C1C0000000000,60mm
140,B27C1C0000000000,66mm
141,B28C1C0000000000,67mm
142,9C971C0000000000,68TR
143,B29C1C0000000000,68mm
144,B21C200000000000,70mm
145,B23C200000000000,72mm
146,B24C200000000000,73mm
147,B26C200000000000,75mm
148,8675200000000000,L5A1
149,B27C200000000000,76mm
150,B21C240000000000,80mm
151,B22C240000000000,81mm
152,B23C240000000000,82mm
153,B24C240000000000,83mm
154,B25C240000000000,84mm
155,B26C240000000000,85mm
156,B2AC240000000000,89mm
157,0214280000000000,F1
158,0414280000000000,F3
159,0514280000000000,F4
160,B21C280000000000,90mm
161,B24C280000000000,93mm
162,B26C280000000000,95mm
