[ID],NbFX,MountedWeaponDescriptorList,Tag,TagIndex,FlyingAltitude,FlyingSpeed
51430,1,Collection[1],tourelle1,1,39000,31200
51431,2,Collection[1],tourelle2,2,39000,31200
51470,2,Collection[1],tourelle2,2,39000,31200
51477,2,Collection[1],tourelle2,2,52000,39000
51498,2,Collection[1],tourelle2,2,39000,39000
51505,2,Collection[1],tourelle2,2,26000,39000
51529,2,Collection[1],tourelle2,2,52000,31200
51537,2,Collection[1],tourelle2,2,39000,31200
51544,2,Collection[1],tourelle2,2,78000,39000
51559,2,Collection[1],tourelle2,2,39000,31200
51583,2,Collection[1],tourelle2,2,52000,52000
51604,2,Collection[1],tourelle3,3,26000,39000
51617,2,Collection[1],tourelle2,2,39000,39000
51657,2,Collection[1],tourelle2,2,26000,31200
51686,2,Collection[1],tourelle2,2,52000,39000
51707,2,Collection[1],tourelle2,2,39000,52000
51713,2,Collection[1],tourelle2,2,39000,52000
51725,2,Collection[1],tourelle2,2,39000,52000
51778,2,Collection[1],tourelle2,2,52000,52000
51810,2,Collection[1],tourelle2,2,52000,52000
51826,2,Collection[1],tourelle2,2,52000,52000
51849,2,Collection[1],tourelle2,2,52000,52000
51881,2,Collection[1],tourelle2,2,52000,52000
51927,2,Collection[1],tourelle2,2,52000,52000
51959,2,Collection[1],tourelle2,2,39000,46800
51965,2,Collection[1],tourelle2,2,39000,46800
51981,2,Collection[1],tourelle3,3,52000,46800
52048,2,Collection[1],tourelle2,2,52000,46800
52071,2,Collection[1],tourelle2,2,26000,39000
52079,2,Collection[1],tourelle2,2,39000,39000
52107,2,Collection[1],tourelle2,2,39000,39000
52121,2,Collection[1],tourelle2,2,52000,52000
52160,2,Collection[1],tourelle2,2,78000,39000
52167,2,Collection[1],tourelle2,2,26000,31200
52182,2,Collection[1],tourelle2,2,52000,39000
52198,2,Collection[1],tourelle2,2,52000,46800
52206,2,Collection[1],tourelle2,2,26000,39000
52230,2,Collection[1],tourelle2,2,39000,39000
52246,2,Collection[1],tourelle2,2,39000,39000
52253,2,Collection[1],tourelle2,2,26000,46800
52290,2,Collection[1],tourelle2,2,52000,52000
52298,2,Collection[1],tourelle2,2,52000,52000
52337,2,Collection[1],tourelle2,2,26000,52000
52358,2,Collection[1],tourelle2,2,39000,46800
52365,2,Collection[1],tourelle2,2,39000,46800
52384,2,Collection[1],tourelle2,2,39000,52000
52385,2,Collection[1],tourelle3,3,39000,52000
52415,2,Collection[1],tourelle2,2,39000,31200
52421,2,Collection[1],tourelle2,2,39000,31200
52428,2,Collection[1],tourelle2,2,52000,31200
52435,2,Collection[1],tourelle2,2,39000,31200
52442,2,Collection[1],tourelle2,2,26000,39000
52449,2,Collection[1],tourelle2,2,52000,52000
52464,2,Collection[1],tourelle2,2,39000,39000
52510,2,Collection[1],tourelle2,2,39000,39000
52518,2,Collection[1],tourelle2,2,39000,39000
52576,2,Collection[1],tourelle2,2,26000,52000
52590,2,Collection[1],tourelle2,2,26000,52000
52613,2,Collection[1],tourelle2,2,26000,52000
52649,2,Collection[1],tourelle2,2,26000,52000
52662,2,Collection[1],tourelle2,2,26000,52000
52704,2,Collection[1],tourelle2,2,52000,46800
52719,2,Collection[1],tourelle2,2,52000,46800
52727,2,Collection[1],tourelle2,2,52000,46800
52772,2,Collection[1],tourelle2,2,52000,46800
52788,2,Collection[1],tourelle2,2,52000,46800
52804,2,Collection[1],tourelle2,2,52000,46800
52819,2,Collection[1],tourelle2,2,52000,46800
52841,2,Collection[1],tourelle2,2,39000,31200
52848,2,Collection[1],tourelle2,2,52000,39000
52856,2,Collection[1],tourelle2,2,26000,39000
52863,2,Collection[1],tourelle2,2,39000,39000
52892,2,Collection[1],tourelle2,2,52000,39000
52965,2,Collection[1],tourelle2,2,52000,46800
53026,2,Collection[1],tourelle2,2,39000,39000
53057,2,Collection[1],tourelle2,2,39000,46800
53157,2,Collection[1],tourelle2,2,26000,39000
53164,2,Collection[1],tourelle2,2,26000,39000
53171,2,Collection[1],tourelle2,2,26000,39000
53215,2,Collection[1],tourelle2,2,52000,52000
53222,2,Collection[1],tourelle2,2,39000,31200
53228,2,Collection[1],tourelle2,2,26000,31200
53243,2,Collection[1],tourelle2,2,39000,39000
53250,2,Collection[1],tourelle2,2,52000,52000
53258,2,Collection[1],tourelle2,2,52000,52000
53281,2,Collection[1],tourelle2,2,52000,52000
