[ID],ControllerName,Categories,SuppressDamageRatioIfTransporterKilled,TransportListAvailableForSpawn,TransportedTexture
18598,TransportableController,Collection[1],0.75,Collection[1],78 : 30949 (True) - TUIResourceTexture
18619,TransportableController,Collection[1],0.75,null,78 : 30968 (True) - TUIResourceTexture
18648,TransportableController,Collection[1],0.75,null,78 : 30995 (True) - TUIResourceTexture
18657,TransportableController,Collection[1],0.75,null,78 : 30949 (True) - TUIResourceTexture
18723,TransportableController,Collection[2],0.75,Collection[4],78 : 31069 (True) - TUIResourceTexture
18740,TransportableController,Collection[2],0.75,null,78 : 31083 (True) - TUIResourceTexture
18748,TransportableController,Collection[2],0.75,Collection[3],78 : 31091 (True) - TUIResourceTexture
18756,TransportableController,Collection[2],0.75,Collection[5],78 : 31091 (True) - TUIResourceTexture
18766,TransportableController,Collection[1],0.75,Collection[1],78 : 30968 (True) - TUIResourceTexture
18815,TransportableController,Collection[1],0.75,Collection[1],78 : 30949 (True) - TUIResourceTexture
18843,TransportableController,Collection[1],0.75,Collection[1],78 : 30995 (True) - TUIResourceTexture
18852,TransportableController,Collection[1],0.75,Collection[1],78 : 31191 (True) - TUIResourceTexture
18918,TransportableController,Collection[1],0.75,Collection[1],78 : 30968 (True) - TUIResourceTexture
18931,TransportableController,Collection[1],0.75,null,78 : 31191 (True) - TUIResourceTexture
19002,TransportableController,Collection[1],0.75,Collection[1],78 : 31339 (True) - TUIResourceTexture
19009,TransportableController,Collection[2],0.75,Collection[4],78 : 31091 (True) - TUIResourceTexture
19016,TransportableController,Collection[2],0.75,Collection[3],78 : 31091 (True) - TUIResourceTexture
19023,TransportableController,Collection[2],0.75,Collection[3],78 : 31069 (True) - TUIResourceTexture
19030,TransportableController,Collection[2],0.75,Collection[3],78 : 31091 (True) - TUIResourceTexture
19037,TransportableController,Collection[2],0.75,Collection[2],78 : 31091 (True) - TUIResourceTexture
19046,TransportableController,Collection[2],0.75,Collection[4],78 : 31373 (True) - TUIResourceTexture
19054,TransportableController,Collection[2],0.75,Collection[3],78 : 31380 (True) - TUIResourceTexture
19063,TransportableController,Collection[2],0.75,Collection[5],78 : 31083 (True) - TUIResourceTexture
19071,TransportableController,Collection[2],0.75,Collection[5],78 : 31394 (True) - TUIResourceTexture
19080,TransportableController,Collection[2],0.75,Collection[3],78 : 31402 (True) - TUIResourceTexture
19094,TransportableController,Collection[2],0.75,Collection[3],78 : 31414 (True) - TUIResourceTexture
19102,TransportableController,Collection[2],0.75,Collection[5],78 : 31083 (True) - TUIResourceTexture
19136,TransportableController,Collection[1],0.75,Collection[1],78 : 31452 (True) - TUIResourceTexture
19170,TransportableController,Collection[2],0.75,Collection[4],78 : 31373 (True) - TUIResourceTexture
19177,TransportableController,Collection[2],0.75,Collection[5],78 : 31373 (True) - TUIResourceTexture
19190,TransportableController,Collection[2],0.75,null,78 : 31091 (True) - TUIResourceTexture
19196,TransportableController,Collection[2],0.75,Collection[5],78 : 31083 (True) - TUIResourceTexture
19240,TransportableController,Collection[1],0.75,null,78 : 31452 (True) - TUIResourceTexture
19274,TransportableController,Collection[2],0.75,Collection[3],78 : 31394 (True) - TUIResourceTexture
19284,TransportableController,Collection[1],0.75,Collection[1],78 : 30995 (True) - TUIResourceTexture
19421,TransportableController,Collection[1],0.75,Collection[1],78 : 31452 (True) - TUIResourceTexture
19434,TransportableController,Collection[1],0.75,Collection[1],78 : 31191 (True) - TUIResourceTexture
19909,TransportableController,Collection[2],0.75,Collection[3],78 : 31402 (True) - TUIResourceTexture
19916,TransportableController,Collection[2],0.75,Collection[3],78 : 31402 (True) - TUIResourceTexture
19923,TransportableController,Collection[2],0.75,Collection[5],78 : 31083 (True) - TUIResourceTexture
